,datasetKey,decimalLatitude,decimalLongitude,scientificName,taxonKey,TEMP,ZONE
Unnamed 51,50c9509d-22c7-4a22-a47d-8c48425ef4a7,37.623537,-77.650612,"Melospiza melodia (A.Wilson, 1810)",2492196,0,7a
Unnamed 52,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.75133,-80.397112,Habenaria floribunda Lindl.,2829384,30,10a
Unnamed 53,50c9509d-22c7-4a22-a47d-8c48425ef4a7,37.623128,-77.650742,"Lophodytes cucullatus (Linnaeus, 1758)",2498408,0,7a
Unnamed 54,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.410675,-81.641503,"Dryocopus pileatus (Linnaeus, 1758)",5228824,20,9a
Unnamed 55,50c9509d-22c7-4a22-a47d-8c48425ef4a7,37.622662,-77.65103,"Melospiza melodia (A.Wilson, 1810)",2492196,0,7a
Unnamed 56,50c9509d-22c7-4a22-a47d-8c48425ef4a7,41.676442,-70.359572,"Alsophila pometaria (Harris, 1841)",5143952,0,7a
Unnamed 57,50c9509d-22c7-4a22-a47d-8c48425ef4a7,39.778437,-75.555337,"Melospiza melodia (A.Wilson, 1810)",2492196,0,7a
Unnamed 58,50c9509d-22c7-4a22-a47d-8c48425ef4a7,36.31428,-94.104037,"Libytheana carinenta Cramer, 1779",1898402,-5,6b
Unnamed 59,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.600563,-98.475188,"Meleagris gallopavo Linnaeus, 1758",9606290,15,8b
Unnamed 60,50c9509d-22c7-4a22-a47d-8c48425ef4a7,39.167693,-76.81992,Geum canadense Jacq.,5369800,0,7a
Unnamed 61,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.441939,-79.113817,"Pelecanus occidentalis Linnaeus, 1766",5229158,15,8b
Unnamed 62,50c9509d-22c7-4a22-a47d-8c48425ef4a7,26.284831,-80.085107,"Seriola dumerili (Risso, 1810)",5961696,35,10b
Unnamed 63,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.045953,-85.261127,"Zenaida macroura (Linnaeus, 1758)",2495347,5,7b
Unnamed 64,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.138225,-85.373879,"Turdus migratorius Linnaeus, 1766",9510564,0,7a
Unnamed 65,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.711468,-82.286075,Ilex cassine L.,5414255,20,9a
Unnamed 66,50c9509d-22c7-4a22-a47d-8c48425ef4a7,32.671251,-97.140974,"Zenaida macroura (Linnaeus, 1758)",2495347,10,8a
Unnamed 67,50c9509d-22c7-4a22-a47d-8c48425ef4a7,32.679766,-97.010813,"Poecile carolinensis (Audubon, 1834)",2487844,10,8a
Unnamed 68,50c9509d-22c7-4a22-a47d-8c48425ef4a7,32.783024,-97.12671,"Buteo lineatus (Gmelin, 1788)",2480529,10,8a
Unnamed 69,50c9509d-22c7-4a22-a47d-8c48425ef4a7,31.630047,-81.28344,Ilex vomitoria Sol. ex Aiton,5414250,15,8b
Unnamed 70,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.655922,-97.627433,"Buteo lineatus (Gmelin, 1788)",2480529,0,7a
Unnamed 71,50c9509d-22c7-4a22-a47d-8c48425ef4a7,37.62118,-77.650695,"Thryothorus ludovicianus (Latham, 1790)",2493801,0,7a
Unnamed 72,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.655895,-97.627512,"Sphyrapicus varius (Linnaeus, 1766)",2478605,0,7a
Unnamed 73,50c9509d-22c7-4a22-a47d-8c48425ef4a7,26.979183,-80.084686,"Accipiter cooperii (Bonaparte, 1828)",2480621,30,10a
Unnamed 74,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.915511,-79.068359,"Corvus brachyrhynchos C.L.Brehm, 1822",2482507,5,7b
Unnamed 75,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.845382,-79.171439,"Melanerpes carolinus (Linnaeus, 1758)",2478106,5,7b
Unnamed 76,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.209692,-75.166874,Opuntia humifusa (Raf.) Raf.,5384047,5,7b
Unnamed 77,50c9509d-22c7-4a22-a47d-8c48425ef4a7,43.678345,-70.306801,Equisetum hyemale subsp. affine (Engelm.) Calder & Roy L.Taylor,6387033,-15,5b
Unnamed 78,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.655903,-97.627487,"Colaptes auratus (Linnaeus, 1758)",2478259,0,7a
Unnamed 79,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.84198,-78.780437,Gonolobus suberosus (L.) Schult.,8044404,5,7b
Unnamed 80,50c9509d-22c7-4a22-a47d-8c48425ef4a7,43.685577,-70.312546,Fagus grandifolia Ehrh.,2882274,-15,5b
Unnamed 81,50c9509d-22c7-4a22-a47d-8c48425ef4a7,36.153556,-79.499739,Scorias spongiosa (Schwein.) Fr.,2620019,5,7b
Unnamed 82,50c9509d-22c7-4a22-a47d-8c48425ef4a7,41.929778,-74.014687,"Noctua pronuba Linnaeus, 1758",1789695,-15,5b
Unnamed 83,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.655883,-97.627472,"Baeolophus bicolor (Linnaeus, 1766)",2487887,0,7a
Unnamed 84,50c9509d-22c7-4a22-a47d-8c48425ef4a7,43.867585,-69.993035,"Mercenaria mercenaria (Linnaeus, 1758)",2287668,-15,5b
Unnamed 85,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.938281,-86.760584,"Sitta pusilla Latham, 1790",2484904,10,8a
Unnamed 86,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.631879,-81.606487,"Dryocopus pileatus (Linnaeus, 1758)",5228824,20,9a
Unnamed 87,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.655913,-97.627542,"Junco hyemalis (Linnaeus, 1758)",9362842,0,7a
Unnamed 88,50c9509d-22c7-4a22-a47d-8c48425ef4a7,24.732239,-81.037442,"Leiocephalus carinatus Gray, 1827",5224691,40,11a
Unnamed 89,50c9509d-22c7-4a22-a47d-8c48425ef4a7,43.713498,-73.351907,"Callosamia promethea Drury, 1773",1866341,-20,5a
Unnamed 90,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.655922,-97.62748,"Zonotrichia querula (Nuttall, 1840)",5231139,0,7a
Unnamed 91,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28.706207,-81.156891,Rivina humilis L.,3084027,25,9b
97,50c9509d-22c7-4a22-a47d-8c48425ef4a7,26.922043,-82.258739,"Pantherophis guttatus (Linnaeus, 1766)",2455615,30,10a
Unnamed 92,50c9509d-22c7-4a22-a47d-8c48425ef4a7,32.75278,-96.880463,Hedeoma reverchonii (A.Gray) A.Gray,2926690,10,8a
Unnamed 93,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.924888,-85.292283,"Sitta carolinensis Latham, 1790",2484892,-10,6a
Unnamed 94,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.92495,-85.292358,"Passer domesticus (Linnaeus, 1758)",5231190,-10,6a
Unnamed 95,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.206655,-82.952915,Fagus grandifolia Ehrh.,2882274,-10,6a
Unnamed 96,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28.521674,-81.447824,"Quiscalus major Vieillot, 1819",2484133,25,9b
Unnamed 97,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.631879,-81.606487,"Thryothorus ludovicianus (Latham, 1790)",2493801,20,9a
Unnamed 98,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.162575,-98.126022,"Atteva aurea Fitch, 1856",1830674,15,8b
Unnamed 99,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.609182,-82.446895,Xanthium strumarium L.,3089154,0,7a
Unnamed 100,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28.522422,-81.444343,"Quiscalus major Vieillot, 1819",2484133,25,9b
Unnamed 101,50c9509d-22c7-4a22-a47d-8c48425ef4a7,43.684662,-70.301987,Stereum complicatum (Fr.) Fr.,2553087,-15,5b
Unnamed 102,50c9509d-22c7-4a22-a47d-8c48425ef4a7,32.515528,-80.279467,"Busycon carica (Gmelin, 1791)",2302937,15,8b
Unnamed 103,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.778858,-83.510867,"Dryobates pubescens (Linnaeus, 1766)",9149595,0,7a
Unnamed 104,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.785391,-81.957791,"Odocoileus virginianus (Zimmermann, 1780)",2440965,15,8b
Unnamed 105,50c9509d-22c7-4a22-a47d-8c48425ef4a7,37.57714,-77.56378,"Eurycea cirrigera (Green, 1831)",5218366,0,7a
Unnamed 106,50c9509d-22c7-4a22-a47d-8c48425ef4a7,26.277255,-80.213502,Psychotria nervosa Sw.,2920385,35,10b
Unnamed 107,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.188144,-87.690797,"Cyanocitta cristata (Linnaeus, 1758)",2482593,-5,6b
Unnamed 108,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28.708817,-81.159409,Lyonia lucida (Lam.) C.Koch,7491763,25,9b
Unnamed 109,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28.709366,-81.158569,Lyonia lucida (Lam.) C.Koch,7491763,25,9b
Unnamed 110,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.779629,-83.51164,"Turdus migratorius Linnaeus, 1766",9510564,0,7a
Unnamed 111,50c9509d-22c7-4a22-a47d-8c48425ef4a7,32.82928,-79.854159,"Sciurus carolinensis Gmelin, 1788",5219681,15,8b
Unnamed 112,50c9509d-22c7-4a22-a47d-8c48425ef4a7,32.75236,-96.879154,Silphium laciniatum L.,3092583,10,8a
Unnamed 113,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28.524504,-81.443303,"Gallinula galeata (Lichtenstein & Mhc, 1818)",7340222,25,9b
Unnamed 114,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.116539,-96.703208,"Anas platyrhynchos Linnaeus, 1758",9761484,10,8a
Unnamed 115,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.116633,-96.703112,"Branta canadensis (Linnaeus, 1758)",5232437,10,8a
Unnamed 116,50c9509d-22c7-4a22-a47d-8c48425ef4a7,32.347744,-80.669886,Sabal palmetto (Walter) Lodd. ex Schult. & Schult.f.,4925538,15,8b
Unnamed 117,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.130636,-84.144922,"Kinosternon baurii (Garman, 1891)",2442394,15,8b
Unnamed 118,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.860712,-77.325233,"Sciurus carolinensis Gmelin, 1788",5219681,0,7a
Unnamed 119,50c9509d-22c7-4a22-a47d-8c48425ef4a7,39.504628,-88.085586,"Coccothraustes vespertinus (W.Cooper, 1825)",2494321,-10,6a
Unnamed 120,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.537282,-82.087327,"Antheraea polyphemus Cramer, 1775",1866570,25,9b
Unnamed 121,50c9509d-22c7-4a22-a47d-8c48425ef4a7,34.999298,-87.511017,"Harmonia axyridis (Pallas, 1773)",4989904,5,7b
Unnamed 122,50c9509d-22c7-4a22-a47d-8c48425ef4a7,32.75293,-96.878447,Bouteloua curtipendula (Michx.) Torr.,5289861,10,8a
Unnamed 123,50c9509d-22c7-4a22-a47d-8c48425ef4a7,34.999298,-87.511017,"Harmonia axyridis (Pallas, 1773)",4989904,5,7b
Unnamed 124,50c9509d-22c7-4a22-a47d-8c48425ef4a7,32.752448,-96.878296,Bothriochloa laguroides (DC.) Herter,2704111,10,8a
Unnamed 125,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28.706238,-81.156921,Urena lobata L.,3152253,25,9b
Unnamed 126,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.208738,-75.163388,"Equus caballus Linnaeus, 1758",2440886,5,7b
Unnamed 127,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.212595,-85.338586,"Sitta carolinensis Latham, 1790",2484892,0,7a
Unnamed 128,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.078637,-82.442607,"Scomberomorus maculatus (Mitchill, 1815)",2374268,30,10a
Unnamed 129,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28.518368,-81.441496,"Anhinga anhinga (Linnaeus, 1766)",2482082,25,9b
Unnamed 130,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.20163,-96.969159,"Junco hyemalis (Linnaeus, 1758)",9362842,10,8a
Unnamed 131,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.20163,-96.969159,Juniperus virginiana L.,2684391,10,8a
Unnamed 132,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.20163,-96.969159,Baccharis neglecta Britton & A.Br.,3129188,10,8a
Unnamed 133,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.20163,-96.969159,"Cardinalis cardinalis (Linnaeus, 1758)",2490384,10,8a
Unnamed 134,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.20163,-96.969159,"Haemorhous mexicanus (P.L.Statius Müller, 1776)",8323485,10,8a
Unnamed 135,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.20163,-96.969159,"Cardinalis cardinalis (Linnaeus, 1758)",2490384,10,8a
Unnamed 136,50c9509d-22c7-4a22-a47d-8c48425ef4a7,33.20163,-96.969159,Symphoricarpos orbiculatus Moench,2888636,10,8a
Unnamed 137,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.77448,-82.413777,"Nyctanassa violacea (Linnaeus, 1758)",2480953,30,10a
Unnamed 138,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28.354138,-81.207185,Garberia heterophylla (Bartram) Merr. & R.M.Harper,3118103,25,9b
Unnamed 139,50c9509d-22c7-4a22-a47d-8c48425ef4a7,32.786446,-97.12723,"Falco sparverius Linnaeus, 1758",9685907,10,8a
Unnamed 140,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.266282,-81.596766,"Xanthopastis regnatrix Grote, 1863",1777730,20,9a
Unnamed 141,50c9509d-22c7-4a22-a47d-8c48425ef4a7,39.113132,-76.49738,"Buteo lineatus (Gmelin, 1788)",2480529,5,7b
Unnamed 142,50c9509d-22c7-4a22-a47d-8c48425ef4a7,44.333847,-68.0617,Empetrum nigrum L.,8925249,-10,6a
Unnamed 143,50c9509d-22c7-4a22-a47d-8c48425ef4a7,37.211138,-91.040139,"Melanerpes carolinus (Linnaeus, 1758)",2478106,-10,6a
Unnamed 144,50c9509d-22c7-4a22-a47d-8c48425ef4a7,44.333837,-68.061669,Pinus banksiana Lamb.,5285533,-10,6a
Unnamed 145,50c9509d-22c7-4a22-a47d-8c48425ef4a7,44.33355,-68.061761,Umbilicaria muhlenbergii (Ach.) Tuck.,7249018,-10,6a
Unnamed 146,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.087622,-81.006364,"Chauliodes rastricornis Rambur, 1842",5101239,25,9b
Unnamed 147,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.087672,-81.006339,"Acanthocephala declivis (Say, 1832)",5156078,25,9b
Unnamed 148,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.606385,-77.181773,"Dryobates pubescens (Linnaeus, 1766)",9149595,5,7b
Unnamed 149,50c9509d-22c7-4a22-a47d-8c48425ef4a7,41.681943,-71.302326,"Branta bernicla (Linnaeus, 1758)",5232446,-5,6b
Unnamed 150,50c9509d-22c7-4a22-a47d-8c48425ef4a7,26.633013,-80.307228,Hamelia patens Jacq.,2902066,30,10a
Unnamed 151,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.728647,-79.102924,Xanthium strumarium L.,3089154,5,7b
Unnamed 152,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.0611,-81.0884,Rhododendron maximum L.,2883094,-5,6b
Unnamed 153,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.996192,-78.808581,"Poecile carolinensis (Audubon, 1834)",2487844,5,7b
Unnamed 154,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.966042,-78.837021,"Sciurus carolinensis Gmelin, 1788",5219681,5,7b
Unnamed 155,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28.353374,-81.207222,Lactarius quietus (Fr.) Fr.,5248616,25,9b
Unnamed 156,50c9509d-22c7-4a22-a47d-8c48425ef4a7,32.792664,-85.597374,Fagus grandifolia Ehrh.,2882274,5,7b
Unnamed 157,50c9509d-22c7-4a22-a47d-8c48425ef4a7,35.98086,-78.900458,"Dryobates pubescens (Linnaeus, 1766)",9149595,5,7b
Unnamed 158,50c9509d-22c7-4a22-a47d-8c48425ef4a7,27.795045,-82.649445,"Sturnus vulgaris Linnaeus, 1758",9809229,30,10a
Unnamed 159,50c9509d-22c7-4a22-a47d-8c48425ef4a7,40.955231,-78.112902,"Asplenium platyneuron (L.) Britton, Sterns & Poggenb.",2650714,-15,5b
Unnamed 160,50c9509d-22c7-4a22-a47d-8c48425ef4a7,32.512912,-80.283624,"Hepatus epheliticus (Linnaeus, 1763)",2222820,15,8b
Unnamed 161,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.046169,-97.312984,Ilex decidua Walter,5414259,15,8b
Unnamed 162,50c9509d-22c7-4a22-a47d-8c48425ef4a7,36.080545,-79.094803,"Cardinalis cardinalis (Linnaeus, 1758)",2490384,5,7b
Unnamed 163,50c9509d-22c7-4a22-a47d-8c48425ef4a7,46.463454,-87.343309,"Corvus brachyrhynchos C.L.Brehm, 1822",2482507,-15,5b
Unnamed 164,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.916713,-76.525122,"Apis mellifera Linnaeus, 1758",1341976,5,7b
Unnamed 165,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.046033,-97.312802,Cylindropuntia leptocaulis (DC.) F.M.Knuth,7282605,15,8b
Unnamed 166,50c9509d-22c7-4a22-a47d-8c48425ef4a7,34.109046,-84.125181,"Cyanocitta cristata (Linnaeus, 1758)",2482593,5,7b
Unnamed 167,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.99108,-76.558542,Epifagus virginiana (L.) Barton,3173317,5,7b
Unnamed 168,50c9509d-22c7-4a22-a47d-8c48425ef4a7,38.987766,-76.548866,Epifagus virginiana (L.) Barton,3173317,5,7b
Unnamed 169,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.451698,-88.125023,Clathrus columnatus Bosc,5239478,15,8b
Unnamed 170,50c9509d-22c7-4a22-a47d-8c48425ef4a7,32.51313,-80.283257,"Menippe mercenaria (Say, 1818)",5178757,15,8b
Unnamed 171,50c9509d-22c7-4a22-a47d-8c48425ef4a7,39.261167,-84.35572,Hypholoma lateritium (Schaeff.) P.Kumm.,2533424,-10,6a
Unnamed 172,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.73223,-86.681252,"Lanius ludovicianus Linnaeus, 1766",2492870,15,8b
Unnamed 173,50c9509d-22c7-4a22-a47d-8c48425ef4a7,29.629845,-84.935605,Rhus copallina L.,3190557,20,9a
Unnamed 174,50c9509d-22c7-4a22-a47d-8c48425ef4a7,34.498489,-86.673294,"Zenaida macroura (Linnaeus, 1758)",2495347,5,7b
Unnamed 175,50c9509d-22c7-4a22-a47d-8c48425ef4a7,34.497962,-86.660657,"Sitta carolinensis Latham, 1790",2484892,5,7b
Unnamed 176,50c9509d-22c7-4a22-a47d-8c48425ef4a7,34.498052,-86.660759,"Pipilo erythrophthalmus (Linnaeus, 1758)",2491205,5,7b
Unnamed 177,50c9509d-22c7-4a22-a47d-8c48425ef4a7,34.497661,-86.66082,"Turdus migratorius Linnaeus, 1766",9510564,5,7b
Unnamed 178,50c9509d-22c7-4a22-a47d-8c48425ef4a7,30.727799,-86.676368,"Spinus tristis (Linnaeus, 1758)",5231640,15,8b
Unnamed 179,50c9509d-22c7-4a22-a47d-8c48425ef4a7,34.49781,-86.660533,"Sialia sialis (Linnaeus, 1758)",2490941,5,7b
